[INFO] [1784656202.787230, 0.747000]: HR_AFE: -3.5737396615982053
[INFO] [1784656202.798297, 0.747000]: FL_HAA: 0.02677215076982975
[INFO] [1784656202.801885, 0.747000]: FL_HFE: 1.0809478165626527
[INFO] [1784656202.809314, 0.747000]: FL_KFE: -2.225666336154938
[INFO] [1784656202.814479, 0.747000]: FR_HAA: 0.3481104373931885
[INFO] [1784656202.817892, 0.747000]: FR_HFE: 1.1378586294174196
[INFO] [1784656202.824724, 0.747000]: FR_KFE: -2.388203493690491
[INFO] [1784656202.829756, 0.747000]: HL_HAA: -0.17310507595539093
[INFO] [1784656202.833643, 0.747000]: HL_HFE: -0.9780091339111329
[INFO] [1784656202.842466, 0.747000]: HL_KFE: 3.0784593830108644
[INFO] [1784656202.845711, 0.747000]: HL_AFE: -3.3358105558395383
[INFO] [1784656202.849149, 0.747000]: HR_HAA: 0.4314614236354828
[INFO] [1784656202.857965, 0.747000]: HR_HFE: -1.194862812137604
[INFO] [1784656202.862121, 0.747000]: HR_KFE: 3.182687879562378
[INFO] [1784656202.866564, 0.747000]: HR_AFE: -3.5982892650604246
[INFO] [1784656203.180138, 0.767000]: FL_HAA: 0.0232244823127985
[INFO] [1784656203.184765, 0.770000]: FL_HFE: 1.0947155358314515
[INFO] [1784656203.191350, 0.774000]: FL_KFE: -2.2418912569046023
[INFO] [1784656203.197266, 0.781000]: FR_HAA: 0.3487064838409424
[INFO] [1784656203.199339, 0.783000]: FR_HFE: 1.1449692847251893
[INFO] [1784656203.201224, 0.785000]: FR_KFE: -2.403184167480469
[INFO] [1784656203.210377, 0.790000]: HL_HAA: -0.17798486351966858
[INFO] [1784656203.217040, 0.794000]: HL_HFE: -0.9794307642936707
[INFO] [1784656203.220049, 0.799000]: HL_KFE: 3.0934538850784303
[INFO] [1784656203.222234, 0.801000]: HL_AFE: -3.3584821361541746
[INFO] [1784656203.230192, 0.805000]: HR_HAA: 0.43071895837783813
[INFO] [1784656203.236956, 0.808000]: HR_HFE: -1.2011516982078554
[INFO] [1784656203.239949, 0.815000]: HR_KFE: 3.200076342582703
[INFO] [1784656203.241561, 0.816000]: HR_AFE: -3.6232550281524656
[INFO] [1784656203.248584, 0.819000]: FL_HAA: 0.013308266177773476
[INFO] [1784656203.255859, 0.827000]: FL_HFE: 1.123330533695221
[INFO] [1784656203.264993, 0.830000]: FL_KFE: -2.2722572008132937
[INFO] [1784656203.270991, 0.839000]: FR_HAA: 0.35348328948020935
[INFO] [1784656203.280359, 0.841000]: FR_HFE: 1.1618907453536989
[INFO] [1784656203.286009, 0.845000]: FR_KFE: -2.4318019071578982
[INFO] [1784656203.294452, 0.850000]: HL_HAA: -0.18557092547416687
[INFO] [1784656203.300593, 0.850000]: HL_HFE: -0.9787299030780793
[INFO] [1784656203.304027, 0.850000]: HL_KFE: 3.1175324926376344
[INFO] [1784656203.311375, 0.850000]: HL_AFE: -3.40025533618927
[INFO] [1784656203.317256, 0.850000]: HR_HAA: 0.43269914388656616
[INFO] [1784656203.325944, 0.850000]: HR_HFE: -1.213198571777344
[INFO] [1784656203.332675, 0.850000]: HR_KFE: 3.2331683645248415
[INFO] [1784656203.340734, 0.850000]: HR_AFE: -3.6683052915573118
[INFO] [1784656203.346774, 0.850000]: FL_HAA: 0.003124004229903221
[INFO] [1784656203.354313, 0.850000]: FL_HFE: 1.1499419810295106
[INFO] [1784656203.361975, 0.850000]: FL_KFE: -2.3006733575820926
[INFO] [1784656203.364104, 0.850000]: FR_HAA: 0.3575631380081177
[INFO] [1784656203.372150, 0.850000]: FR_HFE: 1.1780326964378358
[INFO] [1784656203.377526, 0.850000]: FR_KFE: -2.4589162984848025
[INFO] [1784656203.382692, 0.850000]: HL_HAA: -0.19246530532836914
[INFO] [1784656203.390261, 0.850000]: HL_HFE: -0.9789592915534974
[INFO] [1784656203.394424, 0.850000]: HL_KFE: 3.137982011795044
[INFO] [1784656203.402583, 0.850000]: HL_AFE: -3.438690199279785
[INFO] [1784656203.409400, 0.850000]: HR_HAA: 0.43441709876060486
[INFO] [1784656203.415102, 0.850000]: HR_HFE: -1.2231028371810915
[INFO] [1784656203.420705, 0.850000]: HR_KFE: 3.2630959758758546
[INFO] [1784656203.426429, 0.850000]: HR_AFE: -3.7104923862457273
[INFO] [1784656203.806880, 0.863000]: FL_HAA: -0.00155342067591846
[INFO] [1784656203.816851, 0.867000]: FL_HFE: 1.163024604511261
[INFO] [1784656203.820788, 0.872000]: FL_KFE: -2.314296833610535
[INFO] [1784656203.829925, 0.878000]: FR_HAA: 0.35972461104393005
[INFO] [1784656203.835822, 0.884000]: FR_HFE: 1.1859580280303956
[INFO] [1784656203.844875, 0.891000]: FR_KFE: -2.47181390914917
[INFO] [1784656203.853971, 0.899000]: HL_HAA: -0.1959194391965866
[INFO] [1784656203.867787, 0.908000]: HL_HFE: -0.9787367278099061
[INFO] [1784656203.875011, 0.913000]: HL_KFE: 3.14733469581604
[INFO] [1784656203.886225, 0.920000]: HL_AFE: -3.456657542610168
[INFO] [1784656203.891642, 0.928000]: HR_HAA: 0.43485212326049805
[INFO] [1784656203.900119, 0.931000]: HR_HFE: -1.227534382915497
